"","HINS1","HINS2","HICOV","SCHL","ENG","English","Education","Work_Insurance","Private_Insurance","Health_Insurance_Covered"
"17882",1,1,1,5,1,"Very Well","Grade 2","Yes","Yes","Yes"
"17883",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"17884",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"17885",1,0,1,16,3,"Not Well","Regular high school diploma","Yes","No","Yes"
"17886",1,0,1,19,3,"Not Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17887",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17888",1,0,1,12,1,"Very Well","Grade 9","Yes","No","Yes"
"17889",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17890",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17891",0,0,1,18,1,"Very Well","Some college, but less than 1 year","No","No","Yes"
"17892",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17893",0,0,1,1,4,"Not at all","No Schooling Completed","No","No","Yes"
"17894",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"17895",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17896",1,0,1,15,1,"Very Well","12th Grade - no diploma","Yes","No","Yes"
"17897",0,1,1,15,1,"Very Well","12th Grade - no diploma","No","Yes","Yes"
"17898",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"17899",0,1,1,16,1,"Very Well","Regular high school diploma","No","Yes","Yes"
"17900",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"17901",1,0,1,24,1,"Very Well","Doctorate degree","Yes","No","Yes"
"17902",1,0,1,22,1,"Very Well","Master's degree","Yes","No","Yes"
"17903",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"17904",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17905",1,0,1,18,3,"Not Well","Some college, but less than 1 year","Yes","No","Yes"
"17906",1,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","Yes","Yes"
"17907",1,1,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","Yes","Yes"
"17908",1,0,1,21,2,"Well","Bachelor's degree","Yes","No","Yes"
"17909",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"17910",1,0,1,16,1,"Very Well","Regular high school diploma","Yes","No","Yes"
"17911",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17912",1,0,1,13,1,"Very Well","Grade 10","Yes","No","Yes"
"17913",1,0,1,9,1,"Very Well","Grade 6","Yes","No","Yes"
"17914",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17915",1,0,1,23,1,"Very Well","Professional degree beyond a bachelor's degree","Yes","No","Yes"
"17916",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17917",0,0,0,1,4,"Not at all","No Schooling Completed","No","No","No"
"17918",0,0,0,10,4,"Not at all","Grade 7","No","No","No"
"17919",0,0,0,18,1,"Very Well","Some college, but less than 1 year","No","No","No"
"17920",0,0,0,3,4,"Not at all","Kindergarten","No","No","No"
"17921",0,0,0,11,4,"Not at all","Grade 8","No","No","No"
"17922",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17923",1,0,1,21,1,"Very Well","Bachelor's degree","Yes","No","Yes"
"17924",0,0,0,21,1,"Very Well","Bachelor's degree","No","No","No"
"17925",1,0,1,19,1,"Very Well","1 or more years of college credit, no degree","Yes","No","Yes"
"17926",0,0,0,16,1,"Very Well","Regular high school diploma","No","No","No"
